Landtagswahl 2023; Wahldatum: 2023-10-08; Stand: 09.10.2023 02:49:03
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;SPD Wahlkreisstimmen;AfD Wahlkreisstimmen;FDP Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Verjüngungsforschung Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;PdH Wahlkreisstimmen;ABG Wahlkreisstimmen;APPD Wahlkreisstimmen;dieBasis Wahlkreisstimmen;DKP Wahlkreisstimmen;DIE NEUE MITTE Wahlkreisstimmen;Volt Wahlkreisstimmen;KLIMALISTE WÄHLERL. Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;WDMR Wahlkreisstimmen;BUNDESPA. KLIMALISTE Wahlkreisstimmen;MERA25 Wahlkreisstimmen;NEV Wahlkreisstimmen;PP Wahlkreisstimmen;SGV Wahlkreisstimmen;Solibew Wahlkreisstimmen;CDU Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Verjüngungsforschung Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);PdH Wahlkreisstimmen (%);ABG Wahlkreisstimmen (%);APPD Wahlkreisstimmen (%);dieBasis Wahlkreisstimmen (%);DKP Wahlkreisstimmen (%);DIE NEUE MITTE Wahlkreisstimmen (%);Volt Wahlkreisstimmen (%);KLIMALISTE WÄHLERL. Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);WDMR Wahlkreisstimmen (%);BUNDESPA. KLIMALISTE Wahlkreisstimmen (%);MERA25 Wahlkreisstimmen (%);NEV Wahlkreisstimmen (%);PP Wahlkreisstimmen (%);SGV Wahlkreisstimmen (%);Solibew Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;GRÜNE Landesstimmen;SPD Landesstimmen;AfD Landesstimmen;FDP Landesstimmen;DIE LINKE Landesstimmen;FREIE WÄHLER Landesstimmen;Tierschutzpartei Landesstimmen;Die PARTEI Landesstimmen;PIRATEN Landesstimmen;ÖDP Landesstimmen;Verjüngungsforschung Landesstimmen;V-Partei³ Landesstimmen;PdH Landesstimmen;ABG Landesstimmen;APPD Landesstimmen;dieBasis Landesstimmen;DKP Landesstimmen;DIE NEUE MITTE Landesstimmen;Volt Landesstimmen;KLIMALISTE WÄHLERL. Landesstimmen;Bündnis C Landesstimmen;WDMR Landesstimmen;BUNDESPA. KLIMALISTE Landesstimmen;MERA25 Landesstimmen;NEV Landesstimmen;PP Landesstimmen;SGV Landesstimmen;Solibew Landesstimmen;CDU Landesstimmen (%);GRÜNE Landesstimmen (%);SPD Landesstimmen (%);AfD Landesstimmen (%);FDP Landesstimmen (%);DIE LINKE Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);Tierschutzpartei Landesstimmen (%);Die PARTEI Landesstimmen (%);PIRATEN Landesstimmen (%);ÖDP Landesstimmen (%);Verjüngungsforschung Landesstimmen (%);V-Partei³ Landesstimmen (%);PdH Landesstimmen (%);ABG Landesstimmen (%);APPD Landesstimmen (%);dieBasis Landesstimmen (%);DKP Landesstimmen (%);DIE NEUE MITTE Landesstimmen (%);Volt Landesstimmen (%);KLIMALISTE WÄHLERL. Landesstimmen (%);Bündnis C Landesstimmen (%);WDMR Landesstimmen (%);BUNDESPA. KLIMALISTE Landesstimmen (%);MERA25 Landesstimmen (%);NEV Landesstimmen (%);PP Landesstimmen (%);SGV Landesstimmen (%);Solibew Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
02443401000;"Steinbach (Taunus), Stadt";"SB";00005;"Friedrich-Hill-Halle, Obergasse 33, Erdgeschoss";1046;782;264;0;377;0;;;8;369;2,1;97,9;94;43;56;64;88;7;9;;;1;;;;;;;1;;;6;;;;;;;;;;25,5;11,7;15,2;17,3;23,8;1,9;2,4;;;0,3;;;;;;;0,3;;;1,6;;;;;;;;;;5;372;1,3;98,7;115;46;59;67;46;11;9;2;1;0;0;0;4;1;0;0;2;0;1;6;2;;;;;;;;;30,9;12,4;15,9;18,0;12,4;3,0;2,4;0,5;0,3;0,0;0,0;0,0;1,1;0,3;0,0;0,0;0,5;0,0;0,3;1,6;0,5;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:50:16;1;;"";0
02443401000;"Steinbach (Taunus), Stadt";"SB";00006;"Geschwister-Scholl-Schule, Hessenring 35, Mensa";928;603;325;0;392;2;;;4;388;1,0;99,0;93;72;64;43;90;9;9;;;4;;;;;;;2;;;2;;;;;;;;;;24,0;18,6;16,5;11,1;23,2;2,3;2,3;;;1,0;;;;;;;0,5;;;0,5;;;;;;;;;;2;390;0,5;99,5;116;81;54;49;58;8;9;1;2;2;0;0;3;0;0;1;2;0;0;4;0;;;;;;;;;29,7;20,8;13,8;12,6;14,9;2,1;2,3;0,3;0,5;0,5;0,0;0,0;0,8;0,0;0,0;0,3;0,5;0,0;0,0;1,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:30:45;1;;"";0
02443401000;"Steinbach (Taunus), Stadt";"SB";90001;"Briefwahl 1, Wiesenau 15, Kita Wiesenstrolche - Schneckengruppe";0;0;0;0;509;509;;;6;503;1,2;98,8;124;51;108;60;125;13;15;;;1;;;;;;;1;;;5;;;;;;;;;;24,7;10,1;21,5;11,9;24,9;2,6;3,0;;;0,2;;;;;;;0,2;;;1,0;;;;;;;;;;2;507;0,4;99,6;162;60;105;67;72;10;9;8;6;0;1;0;3;0;0;0;1;1;0;0;2;;;;;;;;;32,0;11,8;20,7;13,2;14,2;2,0;1,8;1,6;1,2;0,0;0,2;0,0;0,6;0,0;0,0;0,0;0,2;0,2;0,0;0,0;0,4;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:29:26;1;;"";0
02443401000;"Steinbach (Taunus), Stadt";"SB";90002;"Briefwahl 2, Wiesenau 15, Kita Wiesenstrolche - Spatzengruppe";0;0;0;0;676;676;;;6;670;0,9;99,1;184;100;91;71;181;17;16;;;2;;;;;;;3;;;5;;;;;;;;;;27,5;14,9;13,6;10,6;27,0;2,5;2,4;;;0,3;;;;;;;0,4;;;0,7;;;;;;;;;;5;671;0,7;99,3;238;112;91;79;97;10;12;14;2;2;1;0;0;1;0;0;6;0;0;5;1;;;;;;;;;35,5;16,7;13,6;11,8;14,5;1,5;1,8;2,1;0,3;0,3;0,1;0,0;0,0;0,1;0,0;0,0;0,9;0,0;0,0;0,7;0,1;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:46:26;1;;"";0
02443401000;"Steinbach (Taunus), Stadt";"SB";90003;"Briefwahl 3, Wiesenau 15, Kita Wiesenstrolche - Schmetterlingsgruppe";0;0;0;0;558;558;;;13;545;2,3;97,7;153;70;62;49;163;19;22;;;0;;;;;;;3;;;4;;;;;;;;;;28,1;12,8;11,4;9,0;29,9;3,5;4,0;;;0,0;;;;;;;0,6;;;0,7;;;;;;;;;;9;549;1,6;98,4;228;68;54;58;88;16;16;10;1;0;1;0;0;1;2;0;3;0;0;2;1;;;;;;;;;41,5;12,4;9,8;10,6;16,0;2,9;2,9;1,8;0,2;0,0;0,2;0,0;0,0;0,2;0,4;0,0;0,5;0,0;0,0;0,4;0,2;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:08:12;1;;"";0
02443401300;"Weilrod";"SB";00001;"Weilrod-Altweilnau";488;348;140;0;246;0;;;6;240;2,4;97,6;73;53;37;35;21;2;15;;;0;;;;;;;2;;;2;;;;;;;;;;30,4;22,1;15,4;14,6;8,8;0,8;6,3;;;0,0;;;;;;;0,8;;;0,8;;;;;;;;;;7;239;2,8;97,2;74;49;42;34;21;1;13;1;0;1;0;0;0;0;0;0;2;0;0;1;0;;;;;;;;;31,0;20,5;17,6;14,2;8,8;0,4;5,4;0,4;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,4;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:16:52;1;;"";0
02443401300;"Weilrod";"SB";00002;"Weilrod-Cratzenbach";168;111;57;0;76;0;;;1;75;1,3;98,7;30;9;9;12;6;0;7;;;1;;;;;;;0;;;1;;;;;;;;;;40,0;12,0;12,0;16,0;8,0;0,0;9,3;;;1,3;;;;;;;0,0;;;1,3;;;;;;;;;;1;75;1,3;98,7;24;10;9;14;7;1;6;0;1;0;0;0;0;0;0;0;0;0;0;2;1;;;;;;;;;32,0;13,3;12,0;18,7;9,3;1,3;8,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,7;1,3;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:45:51;1;;"";0
02443401300;"Weilrod";"SB";00003;"Weilrod-Emmershausen";378;299;79;0;198;0;;;5;193;2,5;97,5;68;14;27;45;13;5;14;;;5;;;;;;;1;;;1;;;;;;;;;;35,2;7,3;14,0;23,3;6,7;2,6;7,3;;;2,6;;;;;;;0,5;;;0,5;;;;;;;;;;5;193;2,5;97,5;58;23;27;47;10;4;12;5;2;1;0;0;0;2;0;0;1;0;0;1;0;;;;;;;;;30,1;11,9;14,0;24,4;5,2;2,1;6,2;2,6;1,0;0,5;0,0;0,0;0,0;1,0;0,0;0,0;0,5;0,0;0,0;0,5;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:05:26;1;;"";0
02443401300;"Weilrod";"SB";00004;"Weilrod-Finsternthal";138;81;57;0;57;0;;;0;57;0,0;100,0;21;5;7;11;5;2;5;;;1;;;;;;;0;;;0;;;;;;;;;;36,8;8,8;12,3;19,3;8,8;3,5;8,8;;;1,8;;;;;;;0,0;;;0,0;;;;;;;;;;1;56;1,8;98,2;22;3;6;9;5;2;4;2;1;0;1;1;0;0;0;0;0;0;0;0;0;;;;;;;;;39,3;5,4;10,7;16,1;8,9;3,6;7,1;3,6;1,8;0,0;1,8;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:37:54;1;;"";0
02443401300;"Weilrod";"SB";00005;"Weilrod-Gemünden";379;283;96;0;190;0;;;4;186;2,1;97,9;63;20;28;43;13;0;15;;;1;;;;;;;2;;;1;;;;;;;;;;33,9;10,8;15,1;23,1;7,0;0,0;8,1;;;0,5;;;;;;;1,1;;;0,5;;;;;;;;;;2;188;1,1;98,9;61;22;26;46;13;1;10;2;1;1;0;0;0;0;0;0;2;0;0;3;0;;;;;;;;;32,4;11,7;13,8;24,5;6,9;0,5;5,3;1,1;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,0;0,0;1,6;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:23:33;1;;"";0
02443401300;"Weilrod";"SB";00006;"Weilrod-Hasselbach";729;526;203;0;288;0;;;5;283;1,7;98,3;141;16;26;58;11;5;23;;;0;;;;;;;1;;;2;;;;;;;;;;49,8;5,7;9,2;20,5;3,9;1,8;8,1;;;0,0;;;;;;;0,4;;;0,7;;;;;;;;;;6;282;2,1;97,9;138;12;26;65;9;3;16;2;3;2;0;0;0;0;0;0;1;1;4;0;0;;;;;;;;;48,9;4,3;9,2;23,0;3,2;1,1;5,7;0,7;1,1;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,4;1,4;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:32:58;1;;"";0
02443401300;"Weilrod";"SB";00007;"Weilrod-Mauloff";270;193;77;0;120;0;;;0;120;0,0;100,0;28;21;11;26;9;2;20;;;0;;;;;;;3;;;0;;;;;;;;;;23,3;17,5;9,2;21,7;7,5;1,7;16,7;;;0,0;;;;;;;2,5;;;0,0;;;;;;;;;;1;119;0,8;99,2;34;16;15;26;5;2;14;3;0;0;0;0;2;0;1;0;1;0;0;0;0;;;;;;;;;28,6;13,4;12,6;21,8;4,2;1,7;11,8;2,5;0,0;0,0;0,0;0,0;1,7;0,0;0,8;0,0;0,8;0,0;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:08:47;1;;"";0
02443401300;"Weilrod";"SB";00008;"Weilrod-Neuweilnau";130;92;38;0;66;0;;;1;65;1,5;98,5;28;6;10;8;1;1;9;;;1;;;;;;;0;;;1;;;;;;;;;;43,1;9,2;15,4;12,3;1,5;1,5;13,8;;;1,5;;;;;;;0,0;;;1,5;;;;;;;;;;1;65;1,5;98,5;28;6;8;9;0;2;8;2;0;0;0;0;0;0;1;0;0;0;0;1;0;;;;;;;;;43,1;9,2;12,3;13,8;0,0;3,1;12,3;3,1;0,0;0,0;0,0;0,0;0,0;0,0;1,5;0,0;0,0;0,0;0,0;1,5;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:49:03;1;;"";0
02443401300;"Weilrod";"SB";00009;"Weilrod-Niederlauken";341;250;91;0;156;1;;;3;153;1,9;98,1;61;5;22;34;1;3;23;;;1;;;;;;;0;;;3;;;;;;;;;;39,9;3,3;14,4;22,2;0,7;2,0;15,0;;;0,7;;;;;;;0,0;;;2,0;;;;;;;;;;3;153;1,9;98,1;58;7;19;37;4;1;16;5;2;1;0;0;1;1;0;0;0;0;0;0;1;;;;;;;;;37,9;4,6;12,4;24,2;2,6;0,7;10,5;3,3;1,3;0,7;0,0;0,0;0,7;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,7;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:16:22;1;;"";0
02443401300;"Weilrod";"SB";00010;"Weilrod-Oberlauken";280;225;55;0;152;0;;;4;148;2,6;97,4;59;13;12;34;7;3;20;;;0;;;;;;;0;;;0;;;;;;;;;;39,9;8,8;8,1;23,0;4,7;2,0;13,5;;;0,0;;;;;;;0,0;;;0,0;;;;;;;;;;3;149;2,0;98,0;61;12;11;36;7;5;13;2;0;0;0;1;0;0;0;0;0;0;0;0;1;;;;;;;;;40,9;8,1;7,4;24,2;4,7;3,4;8,7;1,3;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:12:31;1;;"";0
02443401300;"Weilrod";"SB";00011;"Weilrod-Riedelbach";755;575;180;0;369;1;;;7;362;1,9;98,1;123;40;48;83;19;4;36;;;4;;;;;;;4;;;1;;;;;;;;;;34,0;11,0;13,3;22,9;5,2;1,1;9,9;;;1,1;;;;;;;1,1;;;0,3;;;;;;;;;;8;361;2,2;97,8;123;45;45;89;19;3;21;5;1;3;0;0;1;0;1;0;4;0;1;0;0;;;;;;;;;34,1;12,5;12,5;24,7;5,3;0,8;5,8;1,4;0,3;0,8;0,0;0,0;0,3;0,0;0,3;0,0;1,1;0,0;0,3;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:53:24;1;;"";0
02443401300;"Weilrod";"SB";00012;"Weilrod-Rod an der Weil";708;520;188;0;333;0;;;9;324;2,7;97,3;118;35;40;59;17;9;40;;;4;;;;;;;0;;;2;;;;;;;;;;36,4;10,8;12,3;18,2;5,2;2,8;12,3;;;1,2;;;;;;;0,0;;;0,6;;;;;;;;;;7;326;2,1;97,9;103;38;34;67;24;11;29;8;1;5;0;0;1;0;0;0;1;0;0;4;0;;;;;;;;;31,6;11,7;10,4;20,6;7,4;3,4;8,9;2,5;0,3;1,5;0,0;0,0;0,3;0,0;0,0;0,0;0,3;0,0;0,0;1,2;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:48:43;1;;"";0
02443401300;"Weilrod";"SB";00013;"Weilrod-Winden";144;124;20;0;84;0;;;3;81;3,6;96,4;16;6;7;26;8;5;13;;;0;;;;;;;0;;;0;;;;;;;;;;19,8;7,4;8,6;32,1;9,9;6,2;16,0;;;0,0;;;;;;;0,0;;;0,0;;;;;;;;;;3;81;3,6;96,4;13;7;9;28;8;4;10;1;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;16,0;8,6;11,1;34,6;9,9;4,9;12,3;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 18:41:10;1;;"";0
02443401300;"Weilrod";"SB";90001;"Briefwahl I";0;0;0;0;678;678;;;29;649;4,3;95,7;238;63;88;117;46;14;68;;;2;;;;;;;9;;;4;;;;;;;;;;36,7;9,7;13,6;18,0;7,1;2,2;10,5;;;0,3;;;;;;;1,4;;;0,6;;;;;;;;;;27;651;4,0;96,0;246;62;88;125;39;9;49;11;2;1;0;0;2;2;2;1;7;0;0;5;0;;;;;;;;;37,8;9,5;13,5;19,2;6,0;1,4;7,5;1,7;0,3;0,2;0,0;0,0;0,3;0,3;0,3;0,2;1,1;0,0;0,0;0,8;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:57:04;1;;"";0
02443401300;"Weilrod";"SB";90002;"Briefwahl II";0;0;0;0;537;537;;;11;526;2,0;98,0;169;77;70;83;20;15;81;;;2;;;;;;;7;;;2;;;;;;;;;;32,1;14,6;13,3;15,8;3,8;2,9;15,4;;;0,4;;;;;;;1,3;;;0,4;;;;;;;;;;8;529;1,5;98,5;170;70;72;92;20;13;52;14;7;3;2;1;1;0;2;0;4;0;0;3;3;;;;;;;;;32,1;13,2;13,6;17,4;3,8;2,5;9,8;2,6;1,3;0,6;0,4;0,2;0,2;0,0;0,4;0,0;0,8;0,0;0,0;0,6;0,6;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:27:49;1;;"";0
02544000300;"Bad Vilbel, Stadt";"SB";00001;"Kindertagesstätte Kunterbunt, Elisabethenstr. 5";900;597;303;0;355;4;;;9;346;2,5;97,5;96;111;46;39;22;11;10;;10;;;;;;;;;;;;;;;1;;;;;;27,7;32,1;13,3;11,3;6,4;3,2;2,9;;2,9;;;;;;;;;;;;;;;0,3;;;;;;2;353;0,6;99,4;98;102;42;41;25;11;9;8;5;4;0;0;2;0;2;0;1;0;0;3;0;;;;;;;;;27,8;28,9;11,9;11,6;7,1;3,1;2,5;2,3;1,4;1,1;0,0;0,0;0,6;0,0;0,6;0,0;0,3;0,0;0,0;0,8;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:37:26;1;;"";0
02544000300;"Bad Vilbel, Stadt";"SB";00002;"Brunnenschule, Kurt-Moosdorf-Str. 75";1418;1035;383;0;592;3;;;8;584;1,4;98,6;229;131;85;70;25;10;21;;12;;;;;;;;;;;;;;;1;;;;;;39,2;22,4;14,6;12,0;4,3;1,7;3,6;;2,1;;;;;;;;;;;;;;;0,2;;;;;;14;578;2,4;97,6;202;123;74;73;32;11;19;12;10;3;1;1;3;1;0;1;0;0;0;10;2;;;;;;;;;34,9;21,3;12,8;12,6;5,5;1,9;3,3;2,1;1,7;0,5;0,2;0,2;0,5;0,2;0,0;0,2;0,0;0,0;0,0;1,7;0,3;;;;;;;;;"";"";"";"";1;1;2023-10-08 21:04:45;1;;"";0
02544000300;"Bad Vilbel, Stadt";"SB";00003;"Kath. Pfarrsaal Verklärung Christi, Frankfurter Str. 208";1218;781;437;0;427;0;;;10;417;2,3;97,7;148;106;57;50;22;16;10;;8;;;;;;;;;;;;;;;0;;;;;;35,5;25,4;13,7;12,0;5,3;3,8;2,4;;1,9;;;;;;;;;;;;;;;0,0;;;;;;11;416;2,6;97,4;129;107;56;58;26;17;7;0;7;0;0;0;1;1;1;0;0;0;0;6;0;;;;;;;;;31,0;25,7;13,5;13,9;6,3;4,1;1,7;0,0;1,7;0,0;0,0;0,0;0,2;0,2;0,2;0,0;0,0;0,0;0,0;1,4;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:02:07;1;;"";0
02544000300;"Bad Vilbel, Stadt";"SB";00004;"Stadtschule, Frankfurter Str. 85";1758;1110;648;0;679;1;;;14;665;2,1;97,9;262;179;74;71;39;13;19;;7;;;;;;;;;;;;;;;1;;;;;;39,4;26,9;11,1;10,7;5,9;2,0;2,9;;1,1;;;;;;;;;;;;;;;0,2;;;;;;13;666;1,9;98,1;249;159;80;76;45;17;12;4;7;3;2;0;3;3;2;0;0;0;0;4;0;;;;;;;;;37,4;23,9;12,0;11,4;6,8;2,6;1,8;0,6;1,1;0,5;0,3;0,0;0,5;0,5;0,3;0,0;0,0;0,0;0,0;0,6;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:42:58;1;;"";0
02544000300;"Bad Vilbel, Stadt";"SB";00005;"Kulturzentrum 'Alte Mühle', Lohstr. 13";1738;1075;663;0;755;1;;;16;739;2,1;97,9;262;208;88;72;64;13;25;;7;;;;;;;;;;;;;;;0;;;;;;35,5;28,1;11,9;9,7;8,7;1,8;3,4;;0,9;;;;;;;;;;;;;;;0,0;;;;;;11;744;1,5;98,5;252;184;87;82;67;19;22;7;4;1;1;0;3;0;2;0;5;0;1;6;1;;;;;;;;;33,9;24,7;11,7;11,0;9,0;2,6;3,0;0,9;0,5;0,1;0,1;0,0;0,4;0,0;0,3;0,0;0,7;0,0;0,1;0,8;0,1;;;;;;;;;"";"";"";"";1;1;2023-10-08 21:41:08;1;;"";0
02544000300;"Bad Vilbel, Stadt";"SB";00006;"Stadtbibliothek, Niddaplatz 2";1444;990;454;0;552;3;;;12;540;2,2;97,8;188;102;71;83;48;11;23;;11;;;;;;;;;;;;;;;3;;;;;;34,8;18,9;13,1;15,4;8,9;2,0;4,3;;2,0;;;;;;;;;;;;;;;0,6;;;;;;11;541;2,0;98,0;174;102;68;83;47;15;25;6;8;2;0;0;1;0;0;0;3;0;0;4;3;;;;;;;;;32,2;18,9;12,6;15,3;8,7;2,8;4,6;1,1;1,5;0,4;0,0;0,0;0,2;0,0;0,0;0,0;0,6;0,0;0,0;0,7;0,6;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:50:00;1;;"";0
02544000300;"Bad Vilbel, Stadt";"SB";00007;"Marktpavillon, verlängerte Heinrich-Heine-Straße";647;442;205;0;257;5;;;6;251;2,3;97,7;96;57;34;34;5;10;7;;8;;;;;;;;;;;;;;;0;;;;;;38,2;22,7;13,5;13,5;2,0;4,0;2,8;;3,2;;;;;;;;;;;;;;;0,0;;;;;;6;251;2,3;97,7;89;53;35;35;6;12;6;4;5;1;2;0;0;0;0;0;1;0;0;2;0;;;;;;;;;35,5;21,1;13,9;13,9;2,4;4,8;2,4;1,6;2,0;0,4;0,8;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,8;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:20:32;1;;"";0
02544000300;"Bad Vilbel, Stadt";"SB";00008;"Kath. Pfarrsaal St. Nikolaus, Schulstraße 6";915;692;223;0;305;0;;;10;295;3,3;96,7;114;44;47;49;17;10;6;;5;;;;;;;;;;;;;;;3;;;;;;38,6;14,9;15,9;16,6;5,8;3,4;2,0;;1,7;;;;;;;;;;;;;;;1,0;;;;;;14;291;4,6;95,4;110;48;42;48;16;10;4;3;7;0;0;0;1;0;0;0;0;0;1;0;1;;;;;;;;;37,8;16,5;14,4;16,5;5,5;3,4;1,4;1,0;2,4;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,3;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:54:27;1;;"";0
02544000300;"Bad Vilbel, Stadt";"SB";00009;"Sporthalle Heilsberg, Carl-Schurz-Str. 33";1429;1017;412;0;624;13;;;11;613;1,8;98,2;209;155;77;80;29;26;21;;15;;;;;;;;;;;;;;;1;;;;;;34,1;25,3;12,6;13,1;4,7;4,2;3,4;;2,4;;;;;;;;;;;;;;;0,2;;;;;;13;611;2,1;97,9;214;140;72;81;21;24;15;11;9;4;1;0;1;0;2;0;5;2;0;5;4;;;;;;;;;35,0;22,9;11,8;13,3;3,4;3,9;2,5;1,8;1,5;0,7;0,2;0,0;0,2;0,0;0,3;0,0;0,8;0,3;0,0;0,8;0,7;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:52:01;1;;"";0
02544000300;"Bad Vilbel, Stadt";"SB";00010;"Ernst-Reuter-Schule, Pestalozzistraße 6";1350;977;373;0;540;2;;;8;532;1,5;98,5;206;130;60;54;39;19;16;;8;;;;;;;;;;;;;;;0;;;;;;38,7;24,4;11,3;10,2;7,3;3,6;3,0;;1,5;;;;;;;;;;;;;;;0,0;;;;;;7;533;1,3;98,7;198;127;54;63;32;21;14;5;4;2;2;1;3;1;0;0;0;0;0;5;1;;;;;;;;;37,1;23,8;10,1;11,8;6,0;3,9;2,6;0,9;0,8;0,4;0,4;0,2;0,6;0,2;0,0;0,0;0,0;0,0;0,0;0,9;0,2;;;;;;;;;"";"";"";"";1;1;2023-10-08 19:40:16;1;;"";0
02544000300;"Bad Vilbel, Stadt";"SB";00011;"City-Hotel, Alte Frankfurter Straße 13";1195;884;311;0;530;3;;;10;520;1,9;98,1;163;117;75;77;33;22;22;;11;;;;;;;;;;;;;;;0;;;;;;31,3;22,5;14,4;14,8;6,3;4,2;4,2;;2,1;;;;;;;;;;;;;;;0,0;;;;;;7;523;1,3;98,7;163;104;68;81;38;23;16;12;3;4;0;0;0;0;0;0;3;4;0;4;0;;;;;;;;;31,2;19,9;13,0;15,5;7,3;4,4;3,1;2,3;0,6;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,8;0,0;0,8;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:55:43;1;;"";0
02544000300;"Bad Vilbel, Stadt";"SB";00012;"Ev. Gemeindehaus Gronau, Kirchstr. 1";956;643;313;0;380;6;;;7;373;1,8;98,2;160;54;38;65;28;10;12;;6;;;;;;;;;;;;;;;0;;;;;;42,9;14,5;10,2;17,4;7,5;2,7;3,2;;1,6;;;;;;;;;;;;;;;0,0;;;;;;6;374;1,6;98,4;154;55;39;66;26;7;11;4;4;0;0;0;5;0;0;0;2;1;0;0;0;;;;;;;;;41,2;14,7;10,4;17,6;7,0;1,9;2,9;1,1;1,1;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,5;0,3;0,0;0,0;0,0;;;;;;;;;"";"";"";"";1;1;2023-10-08 20:06:18;1;;"";0
